자치구_코드_명,서비스_업종_코드_명,점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수,년,분기,년_분기
영등포구,커피-음료,864,3.7,47,412,2024,2,2024-02
영등포구,치킨전문점,99,3.8,9,141,2024,2,2024-02
영등포구,패스트푸드점,141,5.0,13,117,2024,2,2024-02
영등포구,양식음식점,340,4.9,18,30,2024,2,2024-02
영등포구,일식음식점,369,3.5,14,31,2024,2,2024-02
영등포구,중식음식점,598,4.5,28,26,2024,2,2024-02
영등포구,한식음식점,3013,4.0,132,267,2024,2,2024-02
금천구,전자상거래업,1934,2.7,52,5,2024,2,2024-02
금천구,화장품,592,3.4,21,27,2024,2,2024-02
금천구,문구,158,1.2,2,11,2024,2,2024-02
금천구,의약품,263,2.6,7,9,2024,2,2024-02
금천구,편의점,24,5.0,17,313,2024,2,2024-02
금천구,슈퍼마켓,372,2.6,10,14,2024,2,2024-02
금천구,여관,75,2.6,2,1,2024,2,2024-02
금천구,커피-음료,379,5.0,29,203,2024,2,2024-02
금천구,치킨전문점,69,3.6,6,98,2024,2,2024-02
금천구,패스트푸드점,69,4.9,6,54,2024,2,2024-02
금천구,양식음식점,90,5.0,5,10,2024,2,2024-02
금천구,일식음식점,128,2.1,3,18,2024,2,2024-02
금천구,중식음식점,207,9.0,20,14,2024,2,2024-02
금천구,한식음식점,1552,5.3,92,180,2024,2,2024-02
구로구,전자상거래업,2044,3.6,73,6,2024,2,2024-02
구로구,화장품,596,3.2,20,33,2024,2,2024-02
구로구,문구,146,3.8,6,13,2024,2,2024-02
구로구,의약품,334,1.7,6,18,2024,2,2024-02
구로구,편의점,27,6.5,26,376,2024,2,2024-02
구로구,슈퍼마켓,582,2.5,15,21,2024,2,2024-02
구로구,여관,122,1.6,2,0,2024,2,2024-02
구로구,커피-음료,420,3.8,25,237,2024,2,2024-02
구로구,치킨전문점,82,4.7,11,152,2024,2,2024-02
구로구,패스트푸드점,95,3.3,6,85,2024,2,2024-02
구로구,양식음식점,128,6.6,10,24,2024,2,2024-02
구로구,일식음식점,171,5.9,11,16,2024,2,2024-02
구로구,중식음식점,369,6.6,25,11,2024,2,2024-02
구로구,한식음식점,1922,4.6,97,207,2024,2,2024-02
강서구,전자상거래업,3005,3.0,89,4,2024,2,2024-02
강서구,화장품,846,3.6,32,47,2024,2,2024-02
강서구,문구,216,2.6,6,18,2024,2,2024-02
강서구,의약품,454,1.5,7,26,2024,2,2024-02
강서구,편의점,71,4.2,26,548,2024,2,2024-02
강서구,슈퍼마켓,669,3.1,22,35,2024,2,2024-02
강서구,여관,138,2.2,3,0,2024,2,2024-02
강서구,커피-음료,785,5.0,56,326,2024,2,2024-02
강서구,치킨전문점,126,7.1,23,198,2024,2,2024-02
강서구,패스트푸드점,158,4.9,15,146,2024,2,2024-02
강서구,양식음식점,264,4.1,12,32,2024,2,2024-02
강서구,일식음식점,352,5.6,21,26,2024,2,2024-02
강서구,중식음식점,244,6.8,18,19,2024,2,2024-02
강서구,한식음식점,2803,5.3,166,311,2024,2,2024-02
양천구,전자상거래업,1623,3.6,58,3,2024,2,2024-02
양천구,화장품,402,3.5,15,23,2024,2,2024-02
양천구,문구,149,1.3,2,10,2024,2,2024-02
양천구,의약품,267,2.4,7,23,2024,2,2024-02
양천구,편의점,37,7.2,24,298,2024,2,2024-02
양천구,슈퍼마켓,459,3.3,16,20,2024,2,2024-02
양천구,여관,26,15.4,4,0,2024,2,2024-02
양천구,커피-음료,401,4.8,28,177,2024,2,2024-02
양천구,치킨전문점,79,5.2,11,132,2024,2,2024-02
양천구,패스트푸드점,87,4.7,8,82,2024,2,2024-02
양천구,양식음식점,133,5.6,9,28,2024,2,2024-02
양천구,일식음식점,152,6.2,10,9,2024,2,2024-02
양천구,중식음식점,137,4.7,7,12,2024,2,2024-02
양천구,한식음식점,1535,4.4,73,142,2024,2,2024-02
마포구,전자상거래업,2723,2.6,70,11,2024,2,2024-02
마포구,화장품,808,1.9,17,73,2024,2,2024-02
마포구,문구,237,1.2,3,20,2024,2,2024-02
마포구,의약품,343,1.4,5,22,2024,2,2024-02
마포구,편의점,43,4.2,25,549,2024,2,2024-02
마포구,슈퍼마켓,710,2.2,16,10,2024,2,2024-02
마포구,여관,89,3.3,3,1,2024,2,2024-02
마포구,커피-음료,1792,4.5,97,343,2024,2,2024-02
마포구,치킨전문점,91,4.6,11,147,2024,2,2024-02
마포구,패스트푸드점,243,5.9,21,113,2024,2,2024-02
마포구,양식음식점,899,4.1,39,45,2024,2,2024-02
마포구,일식음식점,702,4.9,37,52,2024,2,2024-02
마포구,중식음식점,304,2.8,9,21,2024,2,2024-02
마포구,한식음식점,3140,4.3,146,242,2024,2,2024-02
서대문구,전자상거래업,1465,3.0,44,3,2024,2,2024-02
서대문구,화장품,293,2.4,8,41,2024,2,2024-02
서대문구,문구,105,0.9,1,11,2024,2,2024-02
서대문구,의약품,229,3.3,8,12,2024,2,2024-02
서대문구,편의점,34,2.8,10,327,2024,2,2024-02
서대문구,슈퍼마켓,395,3.3,14,23,2024,2,2024-02
서대문구,여관,118,2.5,3,1,2024,2,2024-02
서대문구,커피-음료,535,3.4,25,202,2024,2,2024-02
서대문구,치킨전문점,69,3.9,7,111,2024,2,2024-02
서대문구,패스트푸드점,111,6.2,13,98,2024,2,2024-02
서대문구,양식음식점,225,5.7,14,20,2024,2,2024-02
서대문구,일식음식점,204,4.1,9,16,2024,2,2024-02
서대문구,중식음식점,180,5.3,10,10,2024,2,2024-02
서대문구,한식음식점,1581,3.3,57,138,2024,2,2024-02
은평구,전자상거래업,1948,3.3,64,7,2024,2,2024-02
은평구,화장품,435,2.5,12,44,2024,2,2024-02
