자치구_코드_명,년_분기,폐업_률
도봉구,2021-04,50.300000000000004
도봉구,2022-01,44.1
도봉구,2022-02,46.800000000000004
도봉구,2022-03,71.7
도봉구,2022-04,45.3
도봉구,2023-01,61.8
도봉구,2023-02,47.9
도봉구,2023-03,45.5
도봉구,2023-04,46.8
도봉구,2024-01,47.8
도봉구,2024-02,57.4
동대문구,2019-01,71.2
동대문구,2019-02,53.5
동대문구,2019-03,58.4
동대문구,2019-04,58.7
동대문구,2020-01,75.5
동대문구,2020-02,46.0
동대문구,2020-03,41.1
동대문구,2020-04,41.2
동대문구,2021-01,37.4
동대문구,2021-02,50.4
동대문구,2021-03,47.3
동대문구,2021-04,42.1
동대문구,2022-01,36.4
동대문구,2022-02,33.4
동대문구,2022-03,59.9
동대문구,2022-04,38.4
동대문구,2023-01,45.6
동대문구,2023-02,54.300000000000004
동대문구,2023-03,56.5
동대문구,2023-04,37.8
동대문구,2024-01,49.2
동대문구,2024-02,53.8
동작구,2019-01,50.5
동작구,2019-02,47.6
동작구,2019-03,56.4
동작구,2019-04,57.5
동작구,2020-01,54.0
동작구,2020-02,48.6
동작구,2020-03,51.3
동작구,2020-04,38.3
동작구,2021-01,42.4
동작구,2021-02,43.8
동작구,2021-03,41.0
동작구,2021-04,42.2
동작구,2022-01,35.3
동작구,2022-02,25.9
동작구,2022-03,55.0
동작구,2022-04,46.4
동작구,2023-01,53.4
동작구,2023-02,52.6
동작구,2023-03,58.4
동작구,2023-04,39.4
동작구,2024-01,51.4
동작구,2024-02,62.0
마포구,2019-01,49.9
마포구,2019-02,55.1
마포구,2019-03,53.6
마포구,2019-04,47.0
마포구,2020-01,55.6
마포구,2020-02,40.6
마포구,2020-03,59.1
마포구,2020-04,41.5
마포구,2021-01,41.699999999999996
마포구,2021-02,49.6
마포구,2021-03,38.5
마포구,2021-04,42.0
마포구,2022-01,36.9
마포구,2022-02,38.5
마포구,2022-03,57.1
마포구,2022-04,53.5
마포구,2023-01,52.0
마포구,2023-02,46.2
마포구,2023-03,45.0
마포구,2023-04,46.2
마포구,2024-01,45.4
마포구,2024-02,47.9
서대문구,2019-01,42.0
서대문구,2019-02,46.1
서대문구,2019-03,56.199999999999996
서대문구,2019-04,41.4
서대문구,2020-01,54.7
서대문구,2020-02,40.7
서대문구,2020-03,46.1
서대문구,2020-04,36.2
서대문구,2021-01,47.7
서대문구,2021-02,44.1
서대문구,2021-03,47.7
서대문구,2021-04,36.8
서대문구,2022-01,36.5
서대문구,2022-02,38.5
서대문구,2022-03,56.6
서대문구,2022-04,37.2
서대문구,2023-01,56.0
서대문구,2023-02,46.0
서대문구,2023-03,54.0
서대문구,2023-04,41.5
서대문구,2024-01,54.8
서대문구,2024-02,50.1
서초구,2019-01,53.6
서초구,2019-02,43.6
서초구,2019-03,49.4
서초구,2019-04,39.7
서초구,2020-01,51.6
서초구,2020-02,36.6
서초구,2020-03,39.6
서초구,2020-04,36.6
서초구,2021-01,34.2
서초구,2021-02,40.1
서초구,2021-03,40.8
서초구,2021-04,48.7
서초구,2022-01,42.7
서초구,2022-02,29.7
서초구,2022-03,48.7
서초구,2022-04,38.4
서초구,2023-01,54.1
서초구,2023-02,49.4
서초구,2023-03,50.699999999999996
서초구,2023-04,44.199999999999996
